"Model","Missing","Separate_Components","Fit","AUC","threshold","sensitivity","specificity","ppv","npv","cal_intercept","cal_slope","brier"
"Logistic","Complete-Case Proportion","Summary Measure","Full-Sample",0.623294219904389,0.14448410066243,0.786324786324786,0.420338983050847,0.211981566820276,0.908424908424908,-6.23275173264076e-09,1.00000000692925,0.134508062803052
"Logistic","Complete-Case Proportion","Summary Measure","K-Fold",0.606605823554977,0.145091531246825,0.777777777777778,0.425423728813559,0.211627906976744,0.906137184115523,0,0.81,0.135574063961838
"Logistic","Counts of Unhealthy and Missing Components","Summary Measure","Full-Sample",0.6281761552948,0.144364689243974,0.769230769230769,0.447457627118644,0.216346153846154,0.907216494845361,-2.75586437747995e-09,1.00000000353319,0.134272241414926
"Logistic","Counts of Unhealthy and Missing Components","Summary Measure","K-Fold",0.608068955526582,0.153039973865216,0.735042735042735,0.474576271186441,0.217171717171717,0.90032154340836,-0.01,0.81,0.135556790558849
"Logistic","Best Case Imputation","Summary Measure","Full-Sample",0.615833695494712,0.17902676173009,0.615384615384615,0.593220338983051,0.230769230769231,0.886075949367089,-2.46315320790227e-09,1.00000000328908,0.135007752416175
"Logistic","Best Case Imputation","Summary Measure","K-Fold",0.597030276691292,0.188864874831397,0.504273504273504,0.666101694915254,0.23046875,0.87139689578714,0,0.77,0.136131313304111
"Logistic","Worst Case Imputation","Summary Measure","Full-Sample",0.627900912646676,0.148422116258641,0.743589743589744,0.461016949152542,0.214814814814815,0.900662251655629,-2.6043312402007e-09,1.00000000239965,0.134356510842026
"Logistic","Worst Case Imputation","Summary Measure","K-Fold",0.609068520932927,0.154387617902786,0.735042735042735,0.491525423728814,0.22279792746114,0.903426791277259,0,0.81,0.135601077460258
"Logistic","Best Case Imputation","Separate Components","Full-Sample",0.645219469795742,0.176768595496387,0.572649572649573,0.691525423728814,0.269076305220884,0.890829694323144,-2.13271477246716e-08,1.00000097472707,0.132622532818521
"Logistic","Best Case Imputation","Separate Components","K-Fold",0.599427785021005,0.171689191407284,0.547008547008547,0.645762711864407,0.234432234432234,0.877880184331797,-0.01,0.63,0.136456425608592
"Logistic","Worst Case Imputation","Separate Components","Full-Sample",0.665355642474286,0.196838624402765,0.521367521367521,0.732203389830508,0.278538812785388,0.885245901639344,-1.38353967812426e-08,1.00000048405773,0.131113376995312
"Logistic","Worst Case Imputation","Separate Components","K-Fold",0.618325365782992,0.170317510807265,0.58974358974359,0.61864406779661,0.23469387755102,0.883777239709443,-0.03,0.1,0.137728982090772
"Logistic","Missingness as a Category","Separate Components","Full-Sample",0.683804143126177,0.19125410090298,0.564102564102564,0.728813559322034,0.292035398230088,0.893970893970894,-5.39998648603641e-08,1.00000161071877,0.129228215796274
"Logistic","Pattern Submodels","Separate Components","Full-Sample",0.721700709836303,0.174511962395931,0.641025641025641,0.7,0.297619047619048,0.907692307692308,-0.00052135814937201,1.03643871776956,0.124661911129022
"Logistic","Pattern Submodels","Separate Components","K-Fold",0.601216862233813,0.121946129367166,0.726495726495726,0.483050847457627,0.217948717948718,0.899053627760252,0.02,0.01,0.142235236988167
